RefDes     X          Y          Rot.       Exact     (FREE)    Side
AJ1        4292.0000  5868.0000  270        EXACT     (FREE)    Top                           
AJ2        5024.0000  5868.0000  270        EXACT     (FREE)    Top                           
ANT1       8100.0000  330.0000   270        EXACT     (FREE)    Top                           
ANT2       7102.0000  5959.0000  000        EXACT     (FREE)    Top                           
BAT        2800.0000  2700.0000  090        EXACT     (FREE)    Top                           
BTN1       6133.0000  5109.0000  000        EXACT     (FREE)    Top                           
C1         560.0000   2260.0000  270        EXACT     (FREE)    Top                           
C2         2480.0000  1730.0000  000        EXACT     (FREE)    Top                           
C3         1010.0000  340.0000   000        EXACT     (FREE)    Top                           
C4         1880.0000  1120.0000  090        EXACT     (FREE)    Top                           
C5         7430.0000  1490.0000  000        EXACT     (FREE)    Top                           
C6         6277.0000  4628.0000  180        EXACT     (FREE)    Top                           
C7         6274.0000  4298.0000  180        EXACT     (FREE)    Top                           
C8         7596.0000  2537.0000  180        EXACT     (FREE)    Top                           
C9         4702.0000  4575.0000  180        EXACT     (FREE)    Top                           
C10        4705.0000  4889.0000  180        EXACT     (FREE)    Top                           
C11        4415.0000  4290.0000  180        EXACT     (FREE)    Top                           
C12        3862.0000  4582.0000  180        EXACT     (FREE)    Top                           
C13        3864.0000  4935.0000  180        EXACT     (FREE)    Top                           
C14        4675.0000  2707.0000  270        EXACT     (FREE)    Top                           
C15        8740.0000  5170.0000  090        EXACT     (FREE)    Top                           
C16        8410.0000  5170.0000  090        EXACT     (FREE)    Top                           
C17        8080.0000  5170.0000  090        EXACT     (FREE)    Top                           
FB1        7970.0000  4860.0000  000        EXACT     (FREE)    Top                           
H1         2070.0000  1880.0000  000        EXACT     (FREE)    Top                           
H2         230.0000   610.0000   000        EXACT     (FREE)    Top                           
H3         5020.0000  2060.0000  180        EXACT     (FREE)    Top                           
H4         6420.0000  160.0000   000        EXACT     (FREE)    Top                           
H5         4500.0000  1650.0000  000        EXACT     (FREE)    Top                           
H6         6900.0000  1380.0000  000        EXACT     (FREE)    Top                           
H7         6690.0000  4880.0000  000        EXACT     (FREE)    Top                           
H8         8810.0000  3330.0000  180        EXACT     (FREE)    Top                           
H9         5919.0000  4541.0000  270        EXACT     (FREE)    Top                           
H10        190.0000   1260.0000  090        EXACT     (FREE)    Top                           
IC1        2040.0000  1630.0000  000        EXACT     (FREE)    Top                           
IC2        660.0000   720.0000   090        EXACT     (FREE)    Top                           
IC3        5420.0000  160.0000   000        EXACT     (FREE)    Top                           
IC4        7470.0000  1090.0000  000        EXACT     (FREE)    Top                           
IC5        7250.0000  4440.0000  000        EXACT     (FREE)    Top                           
J4         1220.0000  1020.0000  000        EXACT     (FREE)    Top                           
J5         1630.0000  1030.0000  000        EXACT     (FREE)    Top                           
J6         940.0000   1010.0000  180        EXACT     (FREE)    Top                           
J7         7670.0000  330.0000   270        EXACT     (FREE)    Top                           
J8         5076.0000  4723.0000  000        EXACT     (FREE)    Top                           
J9         4700.0000  4296.0000  000        EXACT     (FREE)    Top                           
J10        4589.0000  5087.0000  270        EXACT     (FREE)    Top                           
J11        4312.0000  4724.0000  000        EXACT     (FREE)    Top                           
J12        3753.0000  4331.0000  270        EXACT     (FREE)    Top                           
J13        3755.0000  5135.0000  270        EXACT     (FREE)    Top                           
J14        7433.0000  5205.0000  270        EXACT     (FREE)    Top                           
J15        520.0000   1340.0000  090        EXACT     (FREE)    Top                           
