[2017.10.19 09:24:31] [0008m.04s.845ms] [0] WELCOME
[2017.10.19 09:24:31] [0008m.04s.845ms] [1] iCDB Client ver.1.093, 4eaDVz8EvVKuZCsHMzatSQ, build:488395 created 2012-01-27 13:24:08, sources stamp:4eaDVz8EvVKuZCsHMzatSQ
[2017.10.19 09:24:31] [0008m.04s.845ms] [1] Copyright 2012 Mentor Graphics Corporation. All Rights Reserved.
[2017.10.19 09:24:31] [0008m.04s.845ms] [1] Base flow version [7.9.3]
[2017.10.19 09:24:31] [0008m.04s.845ms] [1] GBS Install Id [24044], Flow Id [PADS 9.4.1], Full Flow Name [PADS 9.4.1], Exact Access Date [Nov 1 2011]
[2017.10.19 09:24:31] [0008m.04s.845ms] [1] Machine [DESKTOP-APFMU2M]  User [klutc]  PID [10492]
[2017.10.19 09:24:31] [0008m.04s.845ms] [1] Operating system [Microsoft Home Premium Edition, 64-bit (build 9200)]
[2017.10.19 09:24:31] [0008m.04s.845ms] [1] Current working dir [C:\Work\Pads&DXD\Inverter]
[2017.10.19 09:24:31] [0008m.04s.845ms] [1] PATH [C:\MentorGraphics\9.4PADS\SDD_HOME\wv\win32\bin;C:\ProgramData\Oracle\Java\javapath;C:\Python27\;C:\Python27\Scripts;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\bin;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\lib;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Skype\Phone\;C:\Program Files\Git\cmd;C:\Program Files (x86)\Mercurial;C:\Program Files\Cinterion\Module Exchange Suite\;C:\Program Files (x86)\Java\jdk1.7.0_25\bin;C:\Program Files (x86)\GNU Tools ARM Embedded\6 2017-q2-update\bin;C:\Users\klutc\AppData\Local\Microsoft\WindowsApps;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\SDD_HOME\CAMCAD;C:\Program Files (x86)\proXPN\bin]
[2017.10.19 09:24:31] [0008m.04s.845ms] [1] SDD_HOME [C:\MentorGraphics\9.4PADS\SDD_HOME] on file system [NTFS]
[2017.10.19 09:24:31] [0008m.04s.845ms] [1] SDD_PLATFORM [win32]
[2017.10.19 09:24:31] [0008m.04s.845ms] [1] WDIR [C:\PADS Projects;C:\MentorGraphics\9.4PADS\SDD_HOME\standard]
[2017.10.19 09:24:31] [0008m.04s.845ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2017.10.19 09:24:31] [0008m.04s.845ms] [3] AMP: CREATE
[2017.10.19 09:24:31] [0008m.04s.845ms] [2] NE: CREATE
[2017.10.19 09:24:31] [0008m.04s.845ms] [1] IC: Project GUID [25b8-84eb-4b36-d159-c7dd-4d91-8dd4-d950-ffca-4988-27c1-e38b]
[2017.10.19 09:24:31] [0008m.04s.845ms] [1] IC: Project path [C:\Work\Pads&DXD\Inverter\database] on file system [NTFS]
[2017.10.19 09:24:31] [0008m.04s.845ms] [1] IC: Working in FULL access mode
[2017.10.19 09:24:31] [0008m.04s.845ms] [2] AMP: START
[2017.10.19 09:24:31] [0008m.04s.845ms] [0] ServerToolkit: Running server: command [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe] with parameters [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe -db "C:\Work\Pads&DXD\Inverter\database" -prj "C:\Work\Pads&DXD\Inverter\Inverter.prj" -dbid "25b8-84eb-4b36-d159-c7dd-4d91-8dd4-d950-ffca-4988-27c1-e38b" -autoclose -client "DESKTOP-APFMU2M:klutc:10492" 
[2017.10.19 09:24:31] [0008m.04s.861ms] [0] ServerToolkit: Server command executed
[2017.10.19 09:24:31] [0008m.04s.998ms] [0] ServerToolkit: Server for project [C:\Work\Pads&DXD\Inverter\database] is running
[2017.10.19 09:24:31] [0008m.04s.998ms] [1] ServerProperties: Reading server properties for project [C:\Work\Pads&DXD\Inverter\database]
[2017.10.19 09:24:31] [0008m.04s.998ms] [0] ServerProperties: Host [DESKTOP-APFMU2M]  IP [127.0.0.1]  Port [10001]  GUID [5150-41ee-72d0-e6c2-f87a-8e94-97a8-e950-f57c-4988-27c1-e38b]  for project [C:\Work\Pads&DXD\Inverter\database] with GUID [25b8-84eb-4b36-d159-c7dd-4d91-8dd4-d950-ffca-4988-27c1-e38b]
[2017.10.19 09:24:31] [0008m.04s.998ms] [1] Connecting to iCDB Server:  Host [DESKTOP-APFMU2M] IP [127.0.0.1]  Port [10001]
[2017.10.19 09:24:31] [0008m.04s.998ms] [1] Network: DNS query IP [127.0.0.1]
[2017.10.19 09:24:31] [0008m.04s.998ms] [1] Connected to iCDB Server [127.0.0.1]
[2017.10.19 09:24:50] [0008m.23s.968ms] [1] Session [2620] opened
[2017.10.19 09:24:50] [0008m.23s.968ms] [1] Working mode: Online
[2017.10.19 09:24:50] [0008m.23s.984ms] [1] C: Registered sub-client: [DxD] with ID: [1]
[2017.10.19 09:24:50] [0008m.24s.000ms] [1] INFO: Exclusive read locks disabled
[2017.10.19 09:24:50] [0008m.24s.093ms] [1] C: Registered sub-client: [TransactionRollbackSubClient] with ID: [2]
[2017.10.19 09:24:50] [0008m.24s.093ms] [1] C: Registered sub-client: [xprob] with ID: [3]
[2017.10.19 09:24:51] [0008m.25s.656ms] [1] C: Registered sub-client: [SelectionHolder] with ID: [4]
[2017.10.19 09:24:52] [0008m.25s.912ms] [1] C: Registered sub-client: [HdlProject] with ID: [5]
[2017.10.19 09:24:52] [0008m.25s.944ms] [1] C: Registered sub-client: [Navigator] with ID: [6]
[2017.10.19 09:24:52] [0008m.25s.975ms] [1] C: Registered sub-client: [OutputWindow] with ID: [7]
[2017.10.19 09:24:52] [0008m.25s.975ms] [1] C: Registered sub-client: [PlaceDevice] with ID: [8]
[2017.10.19 09:24:52] [0008m.26s.006ms] [1] C: Registered sub-client: [SAE] with ID: [9]
[2017.10.19 09:24:52] [0008m.26s.022ms] [1] C: Registered sub-client: [DxConstraints] with ID: [10]
[2017.10.19 09:24:52] [0008m.26s.022ms] [1] C: Registered sub-client: [CCZAddin] with ID: [11]
[2017.10.19 09:24:52] [0008m.26s.022ms] [1] C: Registered sub-client: [DxThumbnails] with ID: [12]
[2017.10.19 09:24:52] [0008m.26s.022ms] [1] C: Registered sub-client: [DxSim] with ID: [13]
[2017.10.19 09:24:52] [0008m.26s.131ms] [1] C: Registered sub-client: [SheetConnectorsCacheDxD:1508419492] with ID: [14]
[2017.10.19 09:24:52] [0008m.26s.147ms] [1] C: Registered sub-client: [NetsNamesCollectorDxD:1508419492] with ID: [15]
[2017.10.19 09:24:52] [0008m.26s.147ms] [1] C: Registered sub-client: [DxDbSearch] with ID: [16]
[2017.10.19 09:24:52] [0008m.26s.267ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.10.19 09:24:52] [0008m.26s.283ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.10.19 09:24:52] [0008m.26s.627ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.10.19 09:24:52] [0008m.26s.627ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.10.19 09:24:53] [0008m.27s.627ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.10.19 09:24:53] [0008m.27s.627ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.10.19 09:24:54] [0008m.28s.628ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.10.19 09:24:54] [0008m.28s.628ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.10.19 09:24:55] [0008m.28s.862ms] [1] C: Registered sub-client: [BlockCacheDxD:366021448] with ID: [21]
