[2017.10.23 10:39:10] [0013m.13s.053ms] [0] WELCOME
[2017.10.23 10:39:10] [0013m.13s.054ms] [1] iCDB Client ver.1.093, 4eaDVz8EvVKuZCsHMzatSQ, build:488395 created 2012-01-27 13:24:08, sources stamp:4eaDVz8EvVKuZCsHMzatSQ
[2017.10.23 10:39:10] [0013m.13s.054ms] [1] Copyright 2012 Mentor Graphics Corporation. All Rights Reserved.
[2017.10.23 10:39:10] [0013m.13s.055ms] [1] Base flow version [7.9.3]
[2017.10.23 10:39:10] [0013m.13s.055ms] [1] GBS Install Id [24044], Flow Id [PADS 9.4.1], Full Flow Name [PADS 9.4.1], Exact Access Date [Nov 1 2011]
[2017.10.23 10:39:10] [0013m.13s.055ms] [1] Machine [DESKTOP-APFMU2M]  User [klutc]  PID [8756]
[2017.10.23 10:39:10] [0013m.13s.055ms] [1] Operating system [Microsoft Home Premium Edition, 64-bit (build 9200)]
[2017.10.23 10:39:10] [0013m.13s.055ms] [1] Current working dir [C:\Work\Pads&DXD\Inverter]
[2017.10.23 10:39:10] [0013m.13s.055ms] [1] PATH [C:\MentorGraphics\9.4PADS\SDD_HOME\wv\win32\bin;C:\ProgramData\Oracle\Java\javapath;C:\Python27\;C:\Python27\Scripts;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\bin;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\lib;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Skype\Phone\;C:\Program Files\Git\cmd;C:\Program Files (x86)\Mercurial;C:\Program Files\Cinterion\Module Exchange Suite\;C:\Program Files (x86)\Java\jdk1.7.0_25\bin;C:\Program Files (x86)\GNU Tools ARM Embedded\6 2017-q2-update\bin;C:\Users\klutc\AppData\Local\Microsoft\WindowsApps;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\SDD_HOME\CAMCAD;C:\Program Files (x86)\proXPN\bin]
[2017.10.23 10:39:10] [0013m.13s.055ms] [1] SDD_HOME [C:\MentorGraphics\9.4PADS\SDD_HOME] on file system [NTFS]
[2017.10.23 10:39:10] [0013m.13s.055ms] [1] SDD_PLATFORM [win32]
[2017.10.23 10:39:10] [0013m.13s.055ms] [1] WDIR [C:\PADS Projects;C:\MentorGraphics\9.4PADS\SDD_HOME\standard]
[2017.10.23 10:39:10] [0013m.13s.056ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2017.10.23 10:39:10] [0013m.13s.056ms] [3] AMP: CREATE
[2017.10.23 10:39:10] [0013m.13s.056ms] [2] NE: CREATE
[2017.10.23 10:39:10] [0013m.13s.056ms] [1] IC: Project GUID [5d29-e821-24a3-66e9-a83f-8e9f-83f8-e950-6602-8f7e-7d25-c69e]
[2017.10.23 10:39:10] [0013m.13s.056ms] [1] IC: Project path [C:\Work\Pads&DXD\Inverter\database] on file system [NTFS]
[2017.10.23 10:39:10] [0013m.13s.056ms] [1] IC: Working in FULL access mode
[2017.10.23 10:39:10] [0013m.13s.056ms] [2] AMP: START
[2017.10.23 10:39:10] [0013m.13s.070ms] [0] ServerToolkit: Running server: command [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe] with parameters [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe -db "C:\Work\Pads&DXD\Inverter\database" -prj "C:\Work\Pads&DXD\Inverter\Inverter.prj" -dbid "5d29-e821-24a3-66e9-a83f-8e9f-83f8-e950-6602-8f7e-7d25-c69e" -autoclose -client "DESKTOP-APFMU2M:klutc:8756" 
[2017.10.23 10:39:10] [0013m.13s.072ms] [0] ServerToolkit: Server command executed
[2017.10.23 10:39:10] [0013m.13s.240ms] [0] ServerToolkit: Server for project [C:\Work\Pads&DXD\Inverter\database] is running
[2017.10.23 10:39:10] [0013m.13s.240ms] [1] ServerProperties: Reading server properties for project [C:\Work\Pads&DXD\Inverter\database]
[2017.10.23 10:39:10] [0013m.13s.242ms] [0] ServerProperties: Host [DESKTOP-APFMU2M]  IP [127.0.0.1]  Port [10001]  GUID [3276-fe7e-3598-e0a2-e0ff-de93-1ffd-e950-12d8-6614-7398-ea41]  for project [C:\Work\Pads&DXD\Inverter\database] with GUID [5d29-e821-24a3-66e9-a83f-8e9f-83f8-e950-6602-8f7e-7d25-c69e]
[2017.10.23 10:39:10] [0013m.13s.242ms] [1] Connecting to iCDB Server:  Host [DESKTOP-APFMU2M] IP [127.0.0.1]  Port [10001]
[2017.10.23 10:39:10] [0013m.13s.242ms] [1] Network: DNS query IP [127.0.0.1]
[2017.10.23 10:39:10] [0013m.13s.243ms] [1] Connected to iCDB Server [127.0.0.1]
[2017.10.23 10:39:29] [0013m.32s.061ms] [1] Session [2635] opened
[2017.10.23 10:39:29] [0013m.32s.061ms] [1] Working mode: Online
[2017.10.23 10:39:29] [0013m.32s.081ms] [1] C: Registered sub-client: [DxD] with ID: [1]
[2017.10.23 10:39:29] [0013m.32s.085ms] [1] INFO: Exclusive read locks disabled
[2017.10.23 10:39:29] [0013m.32s.207ms] [1] C: Registered sub-client: [TransactionRollbackSubClient] with ID: [2]
[2017.10.23 10:39:29] [0013m.32s.208ms] [1] C: Registered sub-client: [xprob] with ID: [3]
[2017.10.23 10:39:31] [0013m.33s.739ms] [1] C: Registered sub-client: [SelectionHolder] with ID: [4]
[2017.10.23 10:39:31] [0013m.34s.310ms] [1] C: Registered sub-client: [HdlProject] with ID: [5]
[2017.10.23 10:39:31] [0013m.34s.391ms] [1] C: Registered sub-client: [Navigator] with ID: [6]
[2017.10.23 10:39:31] [0013m.34s.438ms] [1] C: Registered sub-client: [OutputWindow] with ID: [7]
[2017.10.23 10:39:31] [0013m.34s.439ms] [1] C: Registered sub-client: [PlaceDevice] with ID: [8]
[2017.10.23 10:39:32] [0013m.34s.472ms] [1] C: Registered sub-client: [SAE] with ID: [9]
[2017.10.23 10:39:32] [0013m.34s.486ms] [1] C: Registered sub-client: [DxConstraints] with ID: [10]
[2017.10.23 10:39:32] [0013m.34s.486ms] [1] C: Registered sub-client: [CCZAddin] with ID: [11]
[2017.10.23 10:39:32] [0013m.34s.487ms] [1] C: Registered sub-client: [DxThumbnails] with ID: [12]
[2017.10.23 10:39:32] [0013m.34s.488ms] [1] C: Registered sub-client: [DxSim] with ID: [13]
[2017.10.23 10:39:32] [0013m.34s.658ms] [1] C: Registered sub-client: [SheetConnectorsCacheDxD:1508769572] with ID: [14]
[2017.10.23 10:39:32] [0013m.34s.687ms] [1] C: Registered sub-client: [NetsNamesCollectorDxD:1508769572] with ID: [15]
[2017.10.23 10:39:32] [0013m.34s.703ms] [1] C: Registered sub-client: [DxDbSearch] with ID: [16]
[2017.10.23 10:39:32] [0013m.34s.914ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.10.23 10:39:32] [0013m.34s.920ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.10.23 10:39:33] [0013m.35s.830ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.10.23 10:39:33] [0013m.35s.834ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.10.23 10:39:34] [0013m.36s.863ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.10.23 10:39:34] [0013m.36s.867ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.10.23 10:39:35] [0013m.37s.829ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.10.23 10:39:35] [0013m.37s.836ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.10.23 10:39:36] [0013m.38s.832ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [21]
