[2017.10.23 14:40:04] [0000m.20s.735ms] [0] WELCOME
[2017.10.23 14:40:04] [0000m.20s.735ms] [1] iCDB Client ver.1.093, 4eaDVz8EvVKuZCsHMzatSQ, build:488395 created 2012-01-27 13:24:08, sources stamp:4eaDVz8EvVKuZCsHMzatSQ
[2017.10.23 14:40:04] [0000m.20s.735ms] [1] Copyright 2012 Mentor Graphics Corporation. All Rights Reserved.
[2017.10.23 14:40:04] [0000m.20s.735ms] [1] Base flow version [7.9.3]
[2017.10.23 14:40:04] [0000m.20s.735ms] [1] GBS Install Id [24044], Flow Id [PADS 9.4.1], Full Flow Name [PADS 9.4.1], Exact Access Date [Nov 1 2011]
[2017.10.23 14:40:04] [0000m.20s.735ms] [1] Machine [DESKTOP-APFMU2M]  User [klutc]  PID [2232]
[2017.10.23 14:40:04] [0000m.20s.735ms] [1] Operating system [Microsoft Home Premium Edition, 64-bit (build 9200)]
[2017.10.23 14:40:04] [0000m.20s.735ms] [1] Current working dir [C:\Work\Pads&DXD\Inverter]
[2017.10.23 14:40:04] [0000m.20s.735ms] [1] PATH [C:\MentorGraphics\9.4PADS\SDD_HOME\wv\win32\bin;C:\ProgramData\Oracle\Java\javapath;C:\Python27\;C:\Python27\Scripts;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\bin;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\lib;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Skype\Phone\;C:\Program Files\Git\cmd;C:\Program Files (x86)\Mercurial;C:\Program Files\Cinterion\Module Exchange Suite\;C:\Program Files (x86)\Java\jdk1.7.0_25\bin;C:\Program Files (x86)\GNU Tools ARM Embedded\6 2017-q2-update\bin;C:\Users\klutc\AppData\Local\Microsoft\WindowsApps;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\SDD_HOME\CAMCAD;C:\Program Files (x86)\proXPN\bin]
[2017.10.23 14:40:04] [0000m.20s.735ms] [1] SDD_HOME [C:\MentorGraphics\9.4PADS\SDD_HOME] on file system [NTFS]
[2017.10.23 14:40:04] [0000m.20s.735ms] [1] SDD_PLATFORM [win32]
[2017.10.23 14:40:04] [0000m.20s.735ms] [1] WDIR [C:\PADS Projects;C:\MentorGraphics\9.4PADS\SDD_HOME\standard]
[2017.10.23 14:40:04] [0000m.20s.735ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2017.10.23 14:40:04] [0000m.20s.735ms] [3] AMP: CREATE
[2017.10.23 14:40:04] [0000m.20s.735ms] [2] NE: CREATE
[2017.10.23 14:40:04] [0000m.20s.735ms] [1] IC: Project GUID [0514-c1c2-541c-33f6-2863-ee97-863e-e950-9fa9-6614-7398-ea41]
[2017.10.23 14:40:04] [0000m.20s.735ms] [1] IC: Project path [C:\Work\Pads&DXD\Inverter\database] on file system [NTFS]
[2017.10.23 14:40:04] [0000m.20s.735ms] [1] IC: Working in FULL access mode
[2017.10.23 14:40:04] [0000m.20s.735ms] [2] AMP: START
[2017.10.23 14:40:04] [0000m.20s.766ms] [0] ServerToolkit: Running server: command [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe] with parameters [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe -db "C:\Work\Pads&DXD\Inverter\database" -prj "C:\Work\Pads&DXD\Inverter\Inverter.prj" -dbid "0514-c1c2-541c-33f6-2863-ee97-863e-e950-9fa9-6614-7398-ea41" -autoclose -client "DESKTOP-APFMU2M:klutc:2232" 
[2017.10.23 14:40:04] [0000m.20s.766ms] [0] ServerToolkit: Server command executed
[2017.10.23 14:40:04] [0000m.20s.927ms] [0] ServerToolkit: Server for project [C:\Work\Pads&DXD\Inverter\database] is running
[2017.10.23 14:40:04] [0000m.20s.927ms] [1] ServerProperties: Reading server properties for project [C:\Work\Pads&DXD\Inverter\database]
[2017.10.23 14:40:04] [0000m.20s.927ms] [0] ServerProperties: Host [DESKTOP-APFMU2M]  IP [127.0.0.1]  Port [10000]  GUID [83c4-2375-285a-1acb-4873-ee99-873e-e950-1669-6614-7398-ea41]  for project [C:\Work\Pads&DXD\Inverter\database] with GUID [0514-c1c2-541c-33f6-2863-ee97-863e-e950-9fa9-6614-7398-ea41]
[2017.10.23 14:40:04] [0000m.20s.927ms] [1] Connecting to iCDB Server:  Host [DESKTOP-APFMU2M] IP [127.0.0.1]  Port [10000]
[2017.10.23 14:40:04] [0000m.20s.927ms] [1] Network: DNS query IP [127.0.0.1]
[2017.10.23 14:40:04] [0000m.20s.927ms] [1] Connected to iCDB Server [127.0.0.1]
[2017.10.23 14:40:24] [0000m.40s.668ms] [1] Session [2639] opened
[2017.10.23 14:40:24] [0000m.40s.668ms] [1] Working mode: Online
[2017.10.23 14:40:24] [0000m.40s.668ms] [1] C: Registered sub-client: [DxD] with ID: [1]
[2017.10.23 14:40:24] [0000m.40s.683ms] [1] INFO: Exclusive read locks disabled
[2017.10.23 14:40:24] [0000m.40s.812ms] [1] C: Registered sub-client: [TransactionRollbackSubClient] with ID: [2]
[2017.10.23 14:40:24] [0000m.40s.812ms] [1] C: Registered sub-client: [xprob] with ID: [3]
[2017.10.23 14:40:26] [0000m.42s.369ms] [1] C: Registered sub-client: [SelectionHolder] with ID: [4]
[2017.10.23 14:40:26] [0000m.42s.882ms] [1] C: Registered sub-client: [HdlProject] with ID: [5]
[2017.10.23 14:40:26] [0000m.42s.960ms] [1] C: Registered sub-client: [Navigator] with ID: [6]
[2017.10.23 14:40:26] [0000m.43s.023ms] [1] C: Registered sub-client: [OutputWindow] with ID: [7]
[2017.10.23 14:40:26] [0000m.43s.023ms] [1] C: Registered sub-client: [PlaceDevice] with ID: [8]
[2017.10.23 14:40:26] [0000m.43s.054ms] [1] C: Registered sub-client: [SAE] with ID: [9]
[2017.10.23 14:40:27] [0000m.43s.085ms] [1] C: Registered sub-client: [DxConstraints] with ID: [10]
[2017.10.23 14:40:27] [0000m.43s.085ms] [1] C: Registered sub-client: [CCZAddin] with ID: [11]
[2017.10.23 14:40:27] [0000m.43s.085ms] [1] C: Registered sub-client: [DxThumbnails] with ID: [12]
[2017.10.23 14:40:27] [0000m.43s.085ms] [1] C: Registered sub-client: [DxSim] with ID: [13]
[2017.10.23 14:40:27] [0000m.43s.223ms] [1] C: Registered sub-client: [SheetConnectorsCacheDxD:1508784027] with ID: [14]
[2017.10.23 14:40:27] [0000m.43s.263ms] [1] C: Registered sub-client: [NetsNamesCollectorDxD:1508784027] with ID: [15]
[2017.10.23 14:40:27] [0000m.43s.290ms] [1] C: Registered sub-client: [DxDbSearch] with ID: [16]
[2017.10.23 14:40:27] [0000m.43s.498ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.10.23 14:40:27] [0000m.43s.498ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.10.23 14:40:28] [0000m.44s.313ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.10.23 14:40:28] [0000m.44s.313ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.10.23 14:40:29] [0000m.45s.317ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.10.23 14:40:29] [0000m.45s.321ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.10.23 14:40:30] [0000m.46s.312ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.10.23 14:40:30] [0000m.46s.316ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.10.23 14:40:31] [0000m.47s.315ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [21]
