[2017.11.17 14:41:21] [0000m.34s.277ms] [0] WELCOME
[2017.11.17 14:41:21] [0000m.34s.278ms] [1] iCDB Client ver.1.093, 4eaDVz8EvVKuZCsHMzatSQ, build:488395 created 2012-01-27 13:24:08, sources stamp:4eaDVz8EvVKuZCsHMzatSQ
[2017.11.17 14:41:21] [0000m.34s.278ms] [1] Copyright 2012 Mentor Graphics Corporation. All Rights Reserved.
[2017.11.17 14:41:21] [0000m.34s.278ms] [1] Base flow version [7.9.3]
[2017.11.17 14:41:21] [0000m.34s.278ms] [1] GBS Install Id [24044], Flow Id [PADS 9.4.1], Full Flow Name [PADS 9.4.1], Exact Access Date [Nov 1 2011]
[2017.11.17 14:41:21] [0000m.34s.278ms] [1] Machine [DESKTOP-APFMU2M]  User [klutc]  PID [1184]
[2017.11.17 14:41:21] [0000m.34s.292ms] [1] Operating system [Microsoft Home Premium Edition, 64-bit (build 9200)]
[2017.11.17 14:41:21] [0000m.34s.292ms] [1] Current working dir [C:\Work\Pads&DXD\Inverter]
[2017.11.17 14:41:21] [0000m.34s.292ms] [1] PATH [C:\MentorGraphics\9.4PADS\SDD_HOME\wv\win32\bin;C:\Program Files\Docker\Docker\Resources\bin;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\ProgramData\Oracle\Java\javapath;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\bin;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\lib;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Skype\Phone\;C:\Program Files\Git\cmd;C:\Program Files (x86)\Mercurial;C:\Program Files\Cinterion\Module Exchange Suite\;C:\Program Files (x86)\Java\jdk1.7.0_25\bin;c:\Program Files (x86)\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\DTS\Binn\;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Users\klutc\AppData\Local\Programs\Python\Python36-32\Scripts\;C:\Users\klutc\AppData\Local\Programs\Python\Python36-32\;C:\Program Files (x86)\GNU Tools ARM Embedded\6 2017-q2-update\bin;C:\Users\klutc\AppData\Local\Microsoft\WindowsApps;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\SDD_HOME\CAMCAD;C:\Program Files (x86)\proXPN\bin;C:\Users\klutc\AppData\Local\atom\bin]
[2017.11.17 14:41:21] [0000m.34s.292ms] [1] SDD_HOME [C:\MentorGraphics\9.4PADS\SDD_HOME] on file system [NTFS]
[2017.11.17 14:41:21] [0000m.34s.292ms] [1] SDD_PLATFORM [win32]
[2017.11.17 14:41:21] [0000m.34s.292ms] [1] WDIR [C:\PADS Projects;C:\MentorGraphics\9.4PADS\SDD_HOME\standard]
[2017.11.17 14:41:21] [0000m.34s.292ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2017.11.17 14:41:21] [0000m.34s.292ms] [3] AMP: CREATE
[2017.11.17 14:41:21] [0000m.34s.293ms] [2] NE: CREATE
[2017.11.17 14:41:21] [0000m.34s.293ms] [1] IC: Project GUID [3f62-aaa2-bdb4-316f-2ddb-70a7-ddb7-0a50-0e59-36f3-13bb-ea41]
[2017.11.17 14:41:21] [0000m.34s.293ms] [1] IC: Project path [C:\Work\Pads&DXD\Inverter\database] on file system [NTFS]
[2017.11.17 14:41:21] [0000m.34s.293ms] [1] IC: Working in FULL access mode
[2017.11.17 14:41:21] [0000m.34s.293ms] [2] AMP: START
[2017.11.17 14:41:21] [0000m.34s.361ms] [0] ServerToolkit: Running server: command [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe] with parameters [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe -db "C:\Work\Pads&DXD\Inverter\database" -prj "C:\Work\Pads&DXD\Inverter\Inverter.prj" -dbid "3f62-aaa2-bdb4-316f-2ddb-70a7-ddb7-0a50-0e59-36f3-13bb-ea41" -autoclose -client "DESKTOP-APFMU2M:klutc:1184" 
[2017.11.17 14:41:21] [0000m.34s.538ms] [0] ServerToolkit: Server command executed
[2017.11.17 14:41:22] [0000m.34s.867ms] [0] ServerToolkit: Server for project [C:\Work\Pads&DXD\Inverter\database] is running
[2017.11.17 14:41:22] [0000m.34s.868ms] [1] ServerProperties: Reading server properties for project [C:\Work\Pads&DXD\Inverter\database]
[2017.11.17 14:41:22] [0000m.34s.875ms] [0] ServerProperties: Host [DESKTOP-APFMU2M]  IP [127.0.0.1]  Port [10000]  GUID [6441-b311-db07-2b81-26b3-f0a7-6b3f-0a50-9fa9-6614-7398-ea41]  for project [C:\Work\Pads&DXD\Inverter\database] with GUID [3f62-aaa2-bdb4-316f-2ddb-70a7-ddb7-0a50-0e59-36f3-13bb-ea41]
[2017.11.17 14:41:22] [0000m.34s.875ms] [1] Connecting to iCDB Server:  Host [DESKTOP-APFMU2M] IP [127.0.0.1]  Port [10000]
[2017.11.17 14:41:22] [0000m.34s.875ms] [1] Network: DNS query IP [127.0.0.1]
[2017.11.17 14:41:22] [0000m.34s.876ms] [1] Connected to iCDB Server [127.0.0.1]
[2017.11.17 14:41:44] [0000m.57s.648ms] [1] Session [2761] opened
[2017.11.17 14:41:44] [0000m.57s.648ms] [1] Working mode: Online
[2017.11.17 14:41:44] [0000m.57s.664ms] [1] C: Registered sub-client: [DxD] with ID: [1]
[2017.11.17 14:41:44] [0000m.57s.714ms] [1] INFO: Exclusive read locks disabled
[2017.11.17 14:41:45] [0000m.57s.866ms] [1] C: Registered sub-client: [TransactionRollbackSubClient] with ID: [2]
[2017.11.17 14:41:45] [0000m.57s.888ms] [1] C: Registered sub-client: [xprob] with ID: [3]
[2017.11.17 14:41:46] [0000m.59s.716ms] [1] C: Registered sub-client: [SelectionHolder] with ID: [4]
[2017.11.17 14:41:47] [0001m.00s.522ms] [1] C: Registered sub-client: [HdlProject] with ID: [5]
[2017.11.17 14:41:47] [0001m.00s.584ms] [1] C: Registered sub-client: [Navigator] with ID: [6]
[2017.11.17 14:41:47] [0001m.00s.643ms] [1] C: Registered sub-client: [OutputWindow] with ID: [7]
[2017.11.17 14:41:47] [0001m.00s.644ms] [1] C: Registered sub-client: [PlaceDevice] with ID: [8]
[2017.11.17 14:41:47] [0001m.00s.689ms] [1] C: Registered sub-client: [SAE] with ID: [9]
[2017.11.17 14:41:47] [0001m.00s.708ms] [1] C: Registered sub-client: [DxConstraints] with ID: [10]
[2017.11.17 14:41:47] [0001m.00s.708ms] [1] C: Registered sub-client: [CCZAddin] with ID: [11]
[2017.11.17 14:41:47] [0001m.00s.709ms] [1] C: Registered sub-client: [DxThumbnails] with ID: [12]
[2017.11.17 14:41:47] [0001m.00s.723ms] [1] C: Registered sub-client: [DxSim] with ID: [13]
[2017.11.17 14:41:48] [0001m.01s.139ms] [1] C: Registered sub-client: [SheetConnectorsCacheDxD:1510947708] with ID: [14]
[2017.11.17 14:41:48] [0001m.01s.189ms] [1] C: Registered sub-client: [NetsNamesCollectorDxD:1510947708] with ID: [15]
[2017.11.17 14:41:48] [0001m.01s.236ms] [1] C: Registered sub-client: [DxDbSearch] with ID: [16]
[2017.11.17 14:41:48] [0001m.01s.431ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.11.17 14:41:48] [0001m.01s.436ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.11.17 14:41:48] [0001m.01s.639ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.11.17 14:41:48] [0001m.01s.643ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.11.17 14:41:49] [0001m.02s.640ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.11.17 14:41:49] [0001m.02s.648ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.11.17 14:41:50] [0001m.03s.641ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.11.17 14:41:50] [0001m.03s.647ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.11.17 14:41:53] [0001m.06s.637ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [21]
[2017.11.17 14:41:53] [0001m.06s.643ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [21]
[2017.11.17 14:41:55] [0001m.07s.736ms] [1] C: Registered sub-client: [BlockCacheDxD:350880624] with ID: [22]
[2017.11.17 14:41:55] [0001m.07s.738ms] [1] C: Registered sub-client: [ObjectHolder_351415072] with ID: [23]
[2017.11.17 14:41:55] [0001m.07s.739ms] [1] C: Registered sub-client: [GlobalNetAliasUpdater_351416656] with ID: [24]
[2017.11.17 14:41:55] [0001m.07s.740ms] [1] C: Registered sub-client: [IcdbNetProcessorSubClientDxD:350992096] with ID: [25]
[2017.11.17 14:41:56] [0001m.08s.984ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [26]
[2017.11.17 14:41:56] [0001m.08s.989ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [26]
[2017.11.17 14:41:56] [0001m.09s.641ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [27]
[2017.11.17 14:41:56] [0001m.09s.646ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [27]
[2017.11.17 14:41:57] [0001m.10s.716ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [28]
[2017.11.17 14:41:57] [0001m.10s.722ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [28]
[2017.11.17 14:41:58] [0001m.11s.640ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [29]
[2017.11.17 14:41:58] [0001m.11s.645ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [29]
