[2017.11.17 18:38:36] [0237m.49s.574ms] [0] WELCOME
[2017.11.17 18:38:36] [0237m.49s.577ms] [1] iCDB Client ver.1.093, 4eaDVz8EvVKuZCsHMzatSQ, build:488395 created 2012-01-27 13:24:08, sources stamp:4eaDVz8EvVKuZCsHMzatSQ
[2017.11.17 18:38:36] [0237m.49s.577ms] [1] Copyright 2012 Mentor Graphics Corporation. All Rights Reserved.
[2017.11.17 18:38:36] [0237m.49s.577ms] [1] Base flow version [7.9.3]
[2017.11.17 18:38:36] [0237m.49s.577ms] [1] GBS Install Id [24044], Flow Id [PADS 9.4.1], Full Flow Name [PADS 9.4.1], Exact Access Date [Nov 1 2011]
[2017.11.17 18:38:36] [0237m.49s.577ms] [1] Machine [DESKTOP-APFMU2M]  User [klutc]  PID [1184]
[2017.11.17 18:38:36] [0237m.49s.578ms] [1] Operating system [Microsoft Home Premium Edition, 64-bit (build 9200)]
[2017.11.17 18:38:36] [0237m.49s.578ms] [1] Current working dir [C:\EyeProject\Eye]
[2017.11.17 18:38:36] [0237m.49s.578ms] [1] PATH [C:\MentorGraphics\9.4PADS\SDD_HOME\wv\win32\bin;C:\Program Files\Docker\Docker\Resources\bin;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\ProgramData\Oracle\Java\javapath;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\bin;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\lib;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Skype\Phone\;C:\Program Files\Git\cmd;C:\Program Files (x86)\Mercurial;C:\Program Files\Cinterion\Module Exchange Suite\;C:\Program Files (x86)\Java\jdk1.7.0_25\bin;c:\Program Files (x86)\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\DTS\Binn\;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Users\klutc\AppData\Local\Programs\Python\Python36-32\Scripts\;C:\Users\klutc\AppData\Local\Programs\Python\Python36-32\;C:\Program Files (x86)\GNU Tools ARM Embedded\6 2017-q2-update\bin;C:\Users\klutc\AppData\Local\Microsoft\WindowsApps;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\SDD_HOME\CAMCAD;C:\Program Files (x86)\proXPN\bin;C:\Users\klutc\AppData\Local\atom\bin]
[2017.11.17 18:38:36] [0237m.49s.578ms] [1] SDD_HOME [C:\MentorGraphics\9.4PADS\SDD_HOME] on file system [NTFS]
[2017.11.17 18:38:36] [0237m.49s.578ms] [1] SDD_PLATFORM [win32]
[2017.11.17 18:38:36] [0237m.49s.578ms] [1] WDIR [C:\PADS Projects;C:\MentorGraphics\9.4PADS\SDD_HOME\standard]
[2017.11.17 18:38:36] [0237m.49s.578ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2017.11.17 18:38:36] [0237m.49s.578ms] [3] AMP: CREATE
[2017.11.17 18:38:36] [0237m.49s.578ms] [2] NE: CREATE
[2017.11.17 18:38:36] [0237m.49s.578ms] [1] IC: Project GUID [2d4b-a599-bfb7-69be-727e-90ac-27e9-0a50-540a-6614-7398-ea41]
[2017.11.17 18:38:36] [0237m.49s.578ms] [1] IC: Project path [C:\EyeProject\Eye\database] on file system [NTFS]
[2017.11.17 18:38:36] [0237m.49s.578ms] [1] IC: Working in FULL access mode
[2017.11.17 18:38:36] [0237m.49s.578ms] [2] AMP: START
[2017.11.17 18:38:36] [0237m.49s.609ms] [0] ServerToolkit: Running server: command [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe] with parameters [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe -db "C:\EyeProject\Eye\database" -prj "C:\EyeProject\Eye\Eye.prj" -dbid "2d4b-a599-bfb7-69be-727e-90ac-27e9-0a50-540a-6614-7398-ea41" -autoclose -client "DESKTOP-APFMU2M:klutc:1184" 
[2017.11.17 18:38:36] [0237m.49s.611ms] [0] ServerToolkit: Server command executed
[2017.11.17 18:38:37] [0237m.49s.806ms] [0] ServerToolkit: Server for project [C:\EyeProject\Eye\database] is running
[2017.11.17 18:38:37] [0237m.49s.806ms] [1] ServerProperties: Reading server properties for project [C:\EyeProject\Eye\database]
[2017.11.17 18:38:37] [0237m.49s.807ms] [0] ServerProperties: Host [DESKTOP-APFMU2M]  IP [127.0.0.1]  Port [10001]  GUID [13dc-f614-f32b-0207-df27-f0a2-037f-0a50-c6aa-36f3-13bb-ea41]  for project [C:\EyeProject\Eye\database] with GUID [2d4b-a599-bfb7-69be-727e-90ac-27e9-0a50-540a-6614-7398-ea41]
[2017.11.17 18:38:37] [0237m.49s.807ms] [1] Connecting to iCDB Server:  Host [DESKTOP-APFMU2M] IP [127.0.0.1]  Port [10001]
[2017.11.17 18:38:37] [0237m.49s.807ms] [1] Network: DNS query IP [127.0.0.1]
[2017.11.17 18:38:37] [0237m.49s.807ms] [1] Connected to iCDB Server [127.0.0.1]
[2017.11.17 18:39:14] [0238m.27s.444ms] [1] Session [12664] opened
[2017.11.17 18:39:14] [0238m.27s.444ms] [1] Working mode: Online
[2017.11.17 18:39:14] [0238m.27s.449ms] [1] C: Registered sub-client: [DxD] with ID: [1]
[2017.11.17 18:39:14] [0238m.27s.457ms] [1] INFO: Exclusive read locks disabled
[2017.11.17 18:39:15] [0238m.27s.898ms] [1] C: Registered sub-client: [TransactionRollbackSubClient] with ID: [2]
[2017.11.17 18:39:15] [0238m.27s.899ms] [1] C: Registered sub-client: [xprob] with ID: [3]
[2017.11.17 18:39:16] [0238m.29s.433ms] [1] C: Registered sub-client: [SelectionHolder] with ID: [4]
[2017.11.17 18:39:17] [0238m.29s.802ms] [1] C: Registered sub-client: [HdlProject] with ID: [5]
[2017.11.17 18:39:17] [0238m.29s.904ms] [1] C: Registered sub-client: [Navigator] with ID: [6]
[2017.11.17 18:39:17] [0238m.30s.061ms] [1] C: Registered sub-client: [OutputWindow] with ID: [7]
[2017.11.17 18:39:17] [0238m.30s.062ms] [1] C: Registered sub-client: [PlaceDevice] with ID: [8]
[2017.11.17 18:39:17] [0238m.30s.104ms] [1] C: Registered sub-client: [SAE] with ID: [9]
[2017.11.17 18:39:17] [0238m.30s.117ms] [1] C: Registered sub-client: [DxConstraints] with ID: [10]
[2017.11.17 18:39:17] [0238m.30s.118ms] [1] C: Registered sub-client: [CCZAddin] with ID: [11]
[2017.11.17 18:39:17] [0238m.30s.119ms] [1] C: Registered sub-client: [DxThumbnails] with ID: [12]
[2017.11.17 18:39:17] [0238m.30s.120ms] [1] C: Registered sub-client: [DxSim] with ID: [13]
[2017.11.17 18:39:17] [0238m.30s.208ms] [1] C: Registered sub-client: [SheetConnectorsCacheDxD:1510961957] with ID: [14]
[2017.11.17 18:39:17] [0238m.30s.286ms] [1] C: Registered sub-client: [NetsNamesCollectorDxD:1510961957] with ID: [15]
[2017.11.17 18:39:17] [0238m.30s.301ms] [1] C: Registered sub-client: [DxDbSearch] with ID: [16]
[2017.11.17 18:39:17] [0238m.30s.389ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.11.17 18:39:17] [0238m.30s.390ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.11.17 18:39:18] [0238m.31s.340ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.11.17 18:39:18] [0238m.31s.344ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.11.17 18:39:19] [0238m.32s.342ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.11.17 18:39:19] [0238m.32s.345ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.11.17 18:39:20] [0238m.33s.340ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.11.17 18:39:20] [0238m.33s.344ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.11.17 18:39:21] [0238m.34s.342ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [21]
[2017.11.17 18:39:21] [0238m.34s.347ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [21]
[2017.11.17 18:39:22] [0238m.35s.340ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [22]
[2017.11.17 18:39:22] [0238m.35s.344ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [22]
