[2017.11.20 09:51:47] [0100m.18s.902ms] [0] WELCOME
[2017.11.20 09:51:47] [0100m.18s.903ms] [1] iCDB Client ver.1.093, 4eaDVz8EvVKuZCsHMzatSQ, build:488395 created 2012-01-27 13:24:08, sources stamp:4eaDVz8EvVKuZCsHMzatSQ
[2017.11.20 09:51:47] [0100m.18s.903ms] [1] Copyright 2012 Mentor Graphics Corporation. All Rights Reserved.
[2017.11.20 09:51:47] [0100m.18s.903ms] [1] Base flow version [7.9.3]
[2017.11.20 09:51:47] [0100m.18s.903ms] [1] GBS Install Id [24044], Flow Id [PADS 9.4.1], Full Flow Name [PADS 9.4.1], Exact Access Date [Nov 1 2011]
[2017.11.20 09:51:47] [0100m.18s.903ms] [1] Machine [DESKTOP-APFMU2M]  User [klutc]  PID [11244]
[2017.11.20 09:51:47] [0100m.18s.903ms] [1] Operating system [Microsoft Home Premium Edition, 64-bit (build 9200)]
[2017.11.20 09:51:47] [0100m.18s.903ms] [1] Current working dir [C:\EyeProject\Eye]
[2017.11.20 09:51:47] [0100m.18s.903ms] [1] PATH [C:\MentorGraphics\9.4PADS\SDD_HOME\wv\win32\bin;C:\Program Files\Docker\Docker\Resources\bin;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\ProgramData\Oracle\Java\javapath;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\bin;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\lib;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Skype\Phone\;C:\Program Files\Git\cmd;C:\Program Files (x86)\Mercurial;C:\Program Files\Cinterion\Module Exchange Suite\;C:\Program Files (x86)\Java\jdk1.7.0_25\bin;c:\Program Files (x86)\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\DTS\Binn\;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Users\klutc\AppData\Local\Programs\Python\Python36-32\Scripts\;C:\Users\klutc\AppData\Local\Programs\Python\Python36-32\;C:\Program Files (x86)\GNU Tools ARM Embedded\6 2017-q2-update\bin;C:\Users\klutc\AppData\Local\Microsoft\WindowsApps;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\SDD_HOME\CAMCAD;C:\Program Files (x86)\proXPN\bin;C:\Users\klutc\AppData\Local\atom\bin;%USERPROFILE%\AppData\Local\Microsoft\WindowsApps;]
[2017.11.20 09:51:47] [0100m.18s.904ms] [1] SDD_HOME [C:\MentorGraphics\9.4PADS\SDD_HOME] on file system [NTFS]
[2017.11.20 09:51:47] [0100m.18s.904ms] [1] SDD_PLATFORM [win32]
[2017.11.20 09:51:47] [0100m.18s.904ms] [1] WDIR [C:\PADS Projects;C:\MentorGraphics\9.4PADS\SDD_HOME\standard]
[2017.11.20 09:51:47] [0100m.18s.904ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2017.11.20 09:51:47] [0100m.18s.904ms] [3] AMP: CREATE
[2017.11.20 09:51:47] [0100m.18s.904ms] [2] NE: CREATE
[2017.11.20 09:51:47] [0100m.18s.904ms] [1] IC: Project GUID [2d4b-a599-bfb7-69be-727e-90ac-27e9-0a50-540a-6614-7398-ea41]
[2017.11.20 09:51:47] [0100m.18s.904ms] [1] IC: Project path [C:\EyeProject\Eye\database] on file system [NTFS]
[2017.11.20 09:51:47] [0100m.18s.904ms] [1] IC: Working in FULL access mode
[2017.11.20 09:51:47] [0100m.18s.904ms] [2] AMP: START
[2017.11.20 09:51:47] [0100m.18s.930ms] [0] ServerToolkit: Running server: command [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe] with parameters [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe -db "C:\EyeProject\Eye\database" -prj "C:\EyeProject\Eye\Eye.prj" -dbid "2d4b-a599-bfb7-69be-727e-90ac-27e9-0a50-540a-6614-7398-ea41" -autoclose -client "DESKTOP-APFMU2M:klutc:11244" 
[2017.11.20 09:51:47] [0100m.18s.931ms] [0] ServerToolkit: Server command executed
[2017.11.20 09:51:47] [0100m.19s.033ms] [0] ServerToolkit: Server for project [C:\EyeProject\Eye\database] is running
[2017.11.20 09:51:47] [0100m.19s.033ms] [1] ServerProperties: Reading server properties for project [C:\EyeProject\Eye\database]
[2017.11.20 09:51:47] [0100m.19s.034ms] [0] ServerProperties: Host [DESKTOP-APFMU2M]  IP [127.0.0.1]  Port [10000]  GUID [9f1f-432b-4e10-8a65-30ce-21a8-0ce2-1a50-e493-300e-ff48-676e]  for project [C:\EyeProject\Eye\database] with GUID [2d4b-a599-bfb7-69be-727e-90ac-27e9-0a50-540a-6614-7398-ea41]
[2017.11.20 09:51:47] [0100m.19s.034ms] [1] Connecting to iCDB Server:  Host [DESKTOP-APFMU2M] IP [127.0.0.1]  Port [10000]
[2017.11.20 09:51:47] [0100m.19s.034ms] [1] Network: DNS query IP [127.0.0.1]
[2017.11.20 09:51:47] [0100m.19s.034ms] [1] Connected to iCDB Server [127.0.0.1]
[2017.11.20 09:52:21] [0100m.53s.178ms] [1] Session [12739] opened
[2017.11.20 09:52:21] [0100m.53s.178ms] [1] Working mode: Online
[2017.11.20 09:52:21] [0100m.53s.181ms] [1] C: Registered sub-client: [DxD] with ID: [1]
[2017.11.20 09:52:21] [0100m.53s.182ms] [1] INFO: Exclusive read locks disabled
[2017.11.20 09:52:22] [0100m.53s.542ms] [1] C: Registered sub-client: [TransactionRollbackSubClient] with ID: [2]
[2017.11.20 09:52:22] [0100m.53s.543ms] [1] C: Registered sub-client: [xprob] with ID: [3]
[2017.11.20 09:52:23] [0100m.55s.065ms] [1] C: Registered sub-client: [SelectionHolder] with ID: [4]
[2017.11.20 09:52:24] [0100m.55s.522ms] [1] C: Registered sub-client: [HdlProject] with ID: [5]
[2017.11.20 09:52:24] [0100m.55s.639ms] [1] C: Registered sub-client: [Navigator] with ID: [6]
[2017.11.20 09:52:24] [0100m.55s.793ms] [1] C: Registered sub-client: [OutputWindow] with ID: [7]
[2017.11.20 09:52:24] [0100m.55s.794ms] [1] C: Registered sub-client: [PlaceDevice] with ID: [8]
[2017.11.20 09:52:24] [0100m.55s.836ms] [1] C: Registered sub-client: [SAE] with ID: [9]
[2017.11.20 09:52:24] [0100m.55s.850ms] [1] C: Registered sub-client: [DxConstraints] with ID: [10]
[2017.11.20 09:52:24] [0100m.55s.851ms] [1] C: Registered sub-client: [CCZAddin] with ID: [11]
[2017.11.20 09:52:24] [0100m.55s.851ms] [1] C: Registered sub-client: [DxThumbnails] with ID: [12]
[2017.11.20 09:52:24] [0100m.55s.852ms] [1] C: Registered sub-client: [DxSim] with ID: [13]
[2017.11.20 09:52:24] [0100m.55s.903ms] [1] C: Registered sub-client: [SheetConnectorsCacheDxD:1511189544] with ID: [14]
[2017.11.20 09:52:24] [0100m.55s.979ms] [1] C: Registered sub-client: [NetsNamesCollectorDxD:1511189544] with ID: [15]
[2017.11.20 09:52:24] [0100m.55s.992ms] [1] C: Registered sub-client: [DxDbSearch] with ID: [16]
[2017.11.20 09:52:24] [0100m.56s.099ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.11.20 09:52:24] [0100m.56s.101ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.11.20 09:52:24] [0100m.56s.232ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.11.20 09:52:24] [0100m.56s.234ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.11.20 09:52:25] [0100m.57s.230ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.11.20 09:52:25] [0100m.57s.235ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.11.20 09:52:26] [0100m.58s.249ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.11.20 09:52:26] [0100m.58s.253ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.11.20 09:52:27] [0100m.59s.232ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [21]
[2017.11.20 09:52:27] [0100m.59s.235ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [21]
[2017.11.20 09:52:28] [0100m.59s.715ms] [1] C: Registered sub-client: [BlockCacheDxD:468634880] with ID: [22]
[2017.11.20 09:52:28] [0100m.59s.715ms] [1] C: Registered sub-client: [ObjectHolder_439996344] with ID: [23]
[2017.11.20 09:52:28] [0100m.59s.716ms] [1] C: Registered sub-client: [GlobalNetAliasUpdater_439996520] with ID: [24]
[2017.11.20 09:52:28] [0100m.59s.717ms] [1] C: Registered sub-client: [IcdbNetProcessorSubClientDxD:468133456] with ID: [25]
[2017.11.20 09:52:28] [0101m.00s.282ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [26]
[2017.11.20 09:52:28] [0101m.00s.284ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [26]
[2017.11.20 09:52:29] [0101m.01s.230ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [27]
[2017.11.20 09:52:29] [0101m.01s.235ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [27]
[2017.11.20 09:52:30] [0101m.02s.230ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [28]
[2017.11.20 09:52:30] [0101m.02s.233ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [28]
[2017.11.20 09:52:31] [0101m.03s.230ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [29]
[2017.11.20 09:52:31] [0101m.03s.233ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [29]
[2017.11.20 09:52:32] [0101m.04s.233ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [30]
[2017.11.20 09:52:32] [0101m.04s.238ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [30]
[2017.11.20 09:52:33] [0101m.05s.231ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [31]
[2017.11.20 09:52:33] [0101m.05s.234ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [31]
[2017.11.20 09:52:34] [0101m.06s.233ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [32]
[2017.11.20 09:52:34] [0101m.06s.238ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [32]
[2017.11.20 09:52:35] [0101m.07s.230ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [33]
[2017.11.20 09:52:35] [0101m.07s.232ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [33]
[2017.11.20 09:52:36] [0101m.08s.229ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [34]
[2017.11.20 09:52:36] [0101m.08s.231ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [34]
[2017.11.20 09:52:37] [0101m.09s.231ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [35]
[2017.11.20 09:52:37] [0101m.09s.238ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [35]
[2017.11.20 09:52:38] [0101m.10s.232ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [36]
[2017.11.20 09:52:38] [0101m.10s.239ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [36]
[2017.11.20 09:52:39] [0101m.11s.230ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [37]
[2017.11.20 09:52:39] [0101m.11s.235ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [37]
[2017.11.20 09:52:40] [0101m.12s.230ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [38]
[2017.11.20 09:52:40] [0101m.12s.234ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [38]
[2017.11.20 09:52:41] [0101m.13s.231ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [39]
[2017.11.20 09:52:41] [0101m.13s.233ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [39]
[2017.11.20 09:52:42] [0101m.14s.259ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [40]
[2017.11.20 09:52:42] [0101m.14s.261ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [40]
