[2017.11.25 22:25:49] [0000m.57s.313ms] [0] WELCOME
[2017.11.25 22:25:49] [0000m.57s.315ms] [1] iCDB Client ver.1.093, 4eaDVz8EvVKuZCsHMzatSQ, build:488395 created 2012-01-27 13:24:08, sources stamp:4eaDVz8EvVKuZCsHMzatSQ
[2017.11.25 22:25:49] [0000m.57s.315ms] [1] Copyright 2012 Mentor Graphics Corporation. All Rights Reserved.
[2017.11.25 22:25:49] [0000m.57s.315ms] [1] Base flow version [7.9.3]
[2017.11.25 22:25:49] [0000m.57s.316ms] [1] GBS Install Id [24044], Flow Id [PADS 9.4.1], Full Flow Name [PADS 9.4.1], Exact Access Date [Nov 1 2011]
[2017.11.25 22:25:49] [0000m.57s.316ms] [1] Machine [DESKTOP-APFMU2M]  User [klutc]  PID [7936]
[2017.11.25 22:25:49] [0000m.57s.316ms] [1] Operating system [Microsoft Home Premium Edition, 64-bit (build 9200)]
[2017.11.25 22:25:49] [0000m.57s.316ms] [1] Current working dir [C:\EyeProject\Eye]
[2017.11.25 22:25:49] [0000m.57s.316ms] [1] PATH [C:\MentorGraphics\9.4PADS\SDD_HOME\wv\win32\bin;C:\Program Files\Docker\Docker\Resources\bin;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\ProgramData\Oracle\Java\javapath;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\bin;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\lib;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Skype\Phone\;C:\Program Files\Git\cmd;C:\Program Files (x86)\Mercurial;C:\Program Files\Cinterion\Module Exchange Suite\;C:\Program Files (x86)\Java\jdk1.7.0_25\bin;c:\Program Files (x86)\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\DTS\Binn\;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Users\klutc\AppData\Local\Programs\Python\Python36-32\Scripts\;C:\Users\klutc\AppData\Local\Programs\Python\Python36-32\;C:\Program Files (x86)\GNU Tools ARM Embedded\6 2017-q2-update\bin;C:\Users\klutc\AppData\Local\Microsoft\WindowsApps;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\SDD_HOME\CAMCAD;C:\Program Files (x86)\proXPN\bin;C:\Users\klutc\AppData\Local\atom\bin;%USERPROFILE%\AppData\Local\Microsoft\WindowsApps;]
[2017.11.25 22:25:49] [0000m.57s.316ms] [1] SDD_HOME [C:\MentorGraphics\9.4PADS\SDD_HOME] on file system [NTFS]
[2017.11.25 22:25:49] [0000m.57s.316ms] [1] SDD_PLATFORM [win32]
[2017.11.25 22:25:49] [0000m.57s.316ms] [1] WDIR [C:\PADS Projects;C:\MentorGraphics\9.4PADS\SDD_HOME\standard]
[2017.11.25 22:25:49] [0000m.57s.316ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2017.11.25 22:25:49] [0000m.57s.316ms] [3] AMP: CREATE
[2017.11.25 22:25:49] [0000m.57s.316ms] [2] NE: CREATE
[2017.11.25 22:25:49] [0000m.57s.316ms] [1] IC: Project GUID [06ab-0492-8525-d619-24dc-61a7-4dc6-1a50-37c2-604e-fc25-676e]
[2017.11.25 22:25:49] [0000m.57s.316ms] [1] IC: Project path [C:\EyeProject\Eye\database] on file system [NTFS]
[2017.11.25 22:25:49] [0000m.57s.316ms] [1] IC: Working in FULL access mode
[2017.11.25 22:25:49] [0000m.57s.316ms] [2] AMP: START
[2017.11.25 22:25:49] [0000m.57s.378ms] [1] ServerProperties: Reading server properties for project [C:\EyeProject\Eye\database]
[2017.11.25 22:25:49] [0000m.57s.378ms] [0] ServerProperties: Host [DESKTOP-APFMU2M]  IP [172.16.16.69,192.168.1.16,192.168.217.1,192.168.226.1,DESKTOP-APFMU2M]  Port [10000]  GUID [9312-45fa-78cc-6a6b-5b29-91aa-b299-1a50-2e77-e6b4-1098-4a71]  for project [C:\EyeProject\Eye\database] with GUID [06ab-0492-8525-d619-24dc-61a7-4dc6-1a50-37c2-604e-fc25-676e]
[2017.11.25 22:25:49] [0000m.57s.378ms] [1] Network: DNS query IP [172.16.16.69]
[2017.11.25 22:26:10] [0001m.18s.390ms] [1] Network: WARNING: Connection FAILED to IP [172.16.16.69] Port [10000]
[2017.11.25 22:26:10] [0001m.18s.390ms] [1] Network: DNS query IP [192.168.1.16]
[2017.11.25 22:26:10] [0001m.18s.392ms] [1] Connecting to iCDB Server:  Host [DESKTOP-APFMU2M] IP [192.168.1.16,192.168.217.1,192.168.226.1,DESKTOP-APFMU2M]  Port [10000]
[2017.11.25 22:26:10] [0001m.18s.392ms] [1] Network: DNS query IP [192.168.1.16]
[2017.11.25 22:26:10] [0001m.18s.393ms] [1] Connected to iCDB Server [192.168.1.16]
[2017.11.25 22:26:10] [0001m.18s.395ms] [1] Session [12888] opened
[2017.11.25 22:26:10] [0001m.18s.396ms] [1] Working mode: Online
[2017.11.25 22:26:10] [0001m.18s.400ms] [1] C: Registered sub-client: [DxD] with ID: [1]
[2017.11.25 22:26:10] [0001m.18s.405ms] [1] INFO: Exclusive read locks disabled
[2017.11.25 22:26:10] [0001m.18s.778ms] [1] C: Registered sub-client: [TransactionRollbackSubClient] with ID: [2]
[2017.11.25 22:26:10] [0001m.18s.778ms] [1] C: Registered sub-client: [xprob] with ID: [3]
[2017.11.25 22:26:10] [0001m.18s.806ms] [1] C: Registered sub-client: [SelectionHolder] with ID: [4]
[2017.11.25 22:26:11] [0001m.19s.533ms] [1] C: Registered sub-client: [HdlProject] with ID: [5]
[2017.11.25 22:26:11] [0001m.19s.747ms] [1] C: Registered sub-client: [Navigator] with ID: [6]
[2017.11.25 22:26:11] [0001m.20s.026ms] [1] C: Registered sub-client: [OutputWindow] with ID: [7]
[2017.11.25 22:26:11] [0001m.20s.026ms] [1] C: Registered sub-client: [PlaceDevice] with ID: [8]
[2017.11.25 22:26:12] [0001m.20s.096ms] [1] C: Registered sub-client: [SAE] with ID: [9]
[2017.11.25 22:26:12] [0001m.20s.115ms] [1] C: Registered sub-client: [DxConstraints] with ID: [10]
[2017.11.25 22:26:12] [0001m.20s.115ms] [1] C: Registered sub-client: [CCZAddin] with ID: [11]
[2017.11.25 22:26:12] [0001m.20s.115ms] [1] C: Registered sub-client: [DxThumbnails] with ID: [12]
[2017.11.25 22:26:12] [0001m.20s.115ms] [1] C: Registered sub-client: [DxSim] with ID: [13]
[2017.11.25 22:26:12] [0001m.20s.463ms] [1] C: Registered sub-client: [SheetConnectorsCacheDxD:1511666772] with ID: [14]
[2017.11.25 22:26:12] [0001m.20s.626ms] [1] C: Registered sub-client: [NetsNamesCollectorDxD:1511666772] with ID: [15]
[2017.11.25 22:26:12] [0001m.20s.657ms] [1] C: Registered sub-client: [DxDbSearch] with ID: [16]
[2017.11.25 22:26:12] [0001m.20s.956ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.11.25 22:26:12] [0001m.20s.960ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.11.25 22:26:13] [0001m.21s.117ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.11.25 22:26:13] [0001m.21s.122ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.11.25 22:26:14] [0001m.22s.114ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.11.25 22:26:14] [0001m.22s.119ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.11.25 22:26:15] [0001m.23s.116ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.11.25 22:26:15] [0001m.23s.118ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.11.25 22:26:16] [0001m.24s.115ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [21]
[2017.11.25 22:26:16] [0001m.24s.121ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [21]
[2017.11.25 22:26:17] [0001m.25s.115ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [22]
[2017.11.25 22:26:17] [0001m.25s.119ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [22]
[2017.11.25 22:26:18] [0001m.26s.116ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [23]
[2017.11.25 22:26:18] [0001m.26s.120ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [23]
[2017.11.25 22:26:19] [0001m.27s.119ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [24]
[2017.11.25 22:26:19] [0001m.27s.123ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [24]
[2017.11.25 22:26:20] [0001m.28s.116ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [25]
[2017.11.25 22:26:20] [0001m.28s.116ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [25]
[2017.11.25 22:26:21] [0001m.29s.113ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [26]
[2017.11.25 22:26:21] [0001m.29s.121ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [26]
[2017.11.25 22:26:22] [0001m.30s.116ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [27]
[2017.11.25 22:26:22] [0001m.30s.125ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [27]
[2017.11.25 22:26:23] [0001m.31s.116ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [28]
[2017.11.25 22:26:23] [0001m.31s.116ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [28]
[2017.11.25 22:26:24] [0001m.32s.116ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [29]
[2017.11.25 22:26:24] [0001m.32s.124ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [29]
[2017.11.25 22:26:25] [0001m.33s.116ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [30]
[2017.11.25 22:26:25] [0001m.33s.123ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [30]
[2017.11.25 22:26:26] [0001m.34s.114ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [31]
[2017.11.25 22:26:26] [0001m.34s.121ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [31]
[2017.11.25 22:26:27] [0001m.35s.119ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [32]
[2017.11.25 22:26:27] [0001m.35s.126ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [32]
[2017.11.25 22:26:28] [0001m.36s.113ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [33]
[2017.11.25 22:26:28] [0001m.36s.115ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [33]
[2017.11.25 22:26:29] [0001m.37s.114ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [34]
[2017.11.25 22:26:29] [0001m.37s.120ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [34]
[2017.11.25 22:26:30] [0001m.38s.114ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [35]
[2017.11.25 22:26:30] [0001m.38s.119ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [35]
[2017.11.25 22:26:31] [0001m.39s.114ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [36]
[2017.11.25 22:26:31] [0001m.39s.119ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [36]
[2017.11.25 22:26:32] [0001m.40s.116ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [37]
[2017.11.25 22:26:32] [0001m.40s.120ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [37]
[2017.11.25 22:26:33] [0001m.41s.116ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [38]
[2017.11.25 22:26:33] [0001m.41s.120ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [38]
[2017.11.25 22:26:34] [0001m.42s.113ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [39]
[2017.11.25 22:26:34] [0001m.42s.117ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [39]
[2017.11.25 22:26:35] [0001m.43s.117ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [40]
[2017.11.25 22:26:35] [0001m.43s.122ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [40]
[2017.11.25 22:26:36] [0001m.44s.115ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [41]
[2017.11.25 22:26:36] [0001m.44s.119ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [41]
[2017.11.25 22:26:37] [0001m.45s.114ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [42]
[2017.11.25 22:26:37] [0001m.45s.122ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [42]
[2017.11.25 22:26:38] [0001m.46s.116ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [43]
[2017.11.25 22:26:38] [0001m.46s.121ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [43]
